成語,常用
一班一輩,false
一班半點,false
一現曇華,false
一琴一鶴,false
一瓣心香,false
一生一世,false
一生一代,false
一生九死,false
一男半女,false
一畫開天,false
一病不起,false
一發破的,false
一百二十,false
一盤散沙,false
一目之士,false
一目五行,false
一目十行,true
一目數行,false
一目瞭然,false
一相情原,false
一相情願,false
一眨巴眼,false
一瞑不視,false
一矢雙穿,false
一知半見,false
一知半解,true
一知片解,false
一石二鳥,false
一碗水端,false
一碧萬頃,false
一秉大公,false
一秉至公,false
一秉虔誠,false
一空依傍,false
一窮二白,false
一竅不通,true
一笑一顰,false
一笑了之,false
一笑了事,false
一笑傾城,false
一笑千金,false
一笑百媚,false
一笑置之,false
一筆不苟,false
一筆勾斷,false
一筆勾消,false
一筆勾銷,false
一筆抹摋,false
一筆抹殺,false
一筆抹煞,false
一箭上垛,false
一箭之地,false
一箭之遙,false
一箭雙鵰,false
一簞一瓢,false
一簣之功,false
一簧兩舌,false
一籌莫展,false
一紙千金,false
一紙空文,false
一索得男,false
一索成男,false
一統天下,false
一絲一毫,false
一絲不掛,false
一絲不紊,false
一絲不苟,false
一絲兩氣,false
一絲半粟,false
一網打盡,false
一網盡掃,false
一線之路,false
一線生機,false
一緣一會,false
一聞千悟,false
一股腦兒,false
一肢一節,false
一肢半節,false
一脈同氣,false
一脈相傳,false
一脈相承,false
一脈相通,false
一脈香煙,false
一腳不移,false
一臂之力,false
一臥不起,false
一至於斯,false
一至於此,false
一致百慮,false
一舉一動,false
一舉三反,false
一舉兩全,false
一舉兩得,true
一舉千里,false
一舉成名,false
一舉手之,false
一舉萬里,false
一般無二,false
一般見識,false
一花獨放,false
一草一木,false
一落千丈,false
一葉報秋,false
一葉知秋,false
一葉落知,false
一葉迷山,false
一葉障目,false
一著不慎,false
一著被蛇,false
一葦可航,false
一薰一蕕,false
一虎不河,false
一蛇兩頭,false
一蟹不如,false
一行作吏,false
一衣帶水,false
一表人才,false
一表人材,false
一表人物,false
一表堂堂,false
一表非俗,false
一表非凡,false
一褱而論,false
一見了然,false
一見傾心,false
一見如故,false
一見如舊,false
一見鍾情,false
一視同仁,false
一覽無遺,false
一覽無餘,false
一觴一詠,false
一觸即潰,false
一觸即發,false
一言一行,false
一言不發,false
一言中的,false
一言九鼎,false
一言以蔽,false
一言兩語,false
一言千金,false
一言半句,false
一言半語,false
一言半辭,false
一言喪邦,false
一言既出,false
一言為定,false
一言興邦,false
一言難盡,false
一語中人,false
一語中的,false
一語破的,false
一語道破,false
一語雙關,false
一誤再誤,false
一諾千金,false
一諾無辭,false
一謙四益,false
一谷不升,false
一谷不登,false
一貧如洗,true
一資半級,false
一走了之,false
一跌不振,false
一路平安,false
一路神祇,false
一路福星,false
一路貨色,false
一路順風,false
一路風塵,false
一路風清,false
一蹴可幾,false
一蹴而就,false
一蹴而得,false
一蹴而成,false
一蹶不振,false
一蹶不興,false
一身二任,false
一身五心,false
一身兩役,false
一身兩頭,false
一身是膽,false
一身而二,false
一身都是,false
一軌同風,false
一辭同軌,false
一辭莫贊,false
一迎一和,false
一退六二,false
一通百通,false
一還一報,false
一邱之貉,false
一重一掩,false
一針一線,false
一針見血,true
一錘子買,false
一錘定音,false
一錢不值,false
一錢不名,false
一錢不落,false
一錢如命,false
一長一短,false
一長二短,false
一長兩短,false
一長半短,false
一門同氣,false
一門心思,false
一隅三反,false
一隅之地,false
一隅之見,false
一隅之說,false
一階半級,false
一階半職,false
一雕雙兔,false
一雙兩好,false
一雷二閃,false
一面之交,false
一面之款,false
一面之緣,false
一面之詞,false
一面之識,false
一面之辭,false
一面之雅,false
一面如舊,false
一鞭一條,false
一鞭先著,false
一顧傾城,false
一顧千金,false
一顰一笑,false
一飛沖天,false
一飯三吐,false
一飯之德,false
一飯千金,false
一飲一啄,false
一饋十起,false
一饑兩飽,false
一馬一鞍,false
一馬平川,false
一馬當先,false
一體同心,false
一高二低,false
一髮千鈞,false
一鱗一爪,false
一鱗半爪,false
一鱗半甲,false
一鱗片爪,false
一鱗片甲,false
一鳴驚人,false
一麾出守,false
一點一滴,false
一點半點,false
一點靈犀,false
一鼓一板,false
一鼓作氣,false
一鼻子灰,false
一鼻孔出,false
一齊眾楚,false
一龍一蛇,false
一龍一豬,false
七七八八,false
七上八下,false
七上八落,false
七了八當,false
七事八事,false
七十二行,false
七口八嘴,false
七嘴八張,false
七嘴八舌,false
七大八小,false
七子八婿,false
七孔生煙,false
七年之病,false
七張八嘴,false
七彎八拐,false
七情六慾,false
七慌八亂,false
七手八腳,false
七扭八歪,false
七折八扣,false
七拉八扯,false
七拱八翹,false
七拼八湊,false
七推八阻,false
七損八傷,false
七損八益,false
七搭八扯,false
七搭八搭,false
七撈八攘,false
七擒七縱,false
七擔八挪,false
七支八搭,false
七斷八續,false
七日來復,false
七橫八豎,false
七次量衣,false
七步之才,false
七步八叉,false
七步成章,false
七步成詩,false
七歪八扭,false
七死七生,false
七死八活,false
七滿八平,false
七灣八扭,false
七灣八拐,false
七生七死,false
七男八婿,false
七瘡八孔,false
七相五公,false
七破八補,false
七稜八瓣,false
七穿八洞,false
七穿八爛,false
七窩八代,false
七竅冒火,false
七竅玲瓏,false
七竅生煙,false
七縱七擒,false
七縱七禽,false
七縱八橫,false
七老八倒,false
七老八十,false
七腳八手,false
七舌八嘴,false
七行俱下,false
七言八語,false
七貞九烈,false
七足八手,false
七返還丹,false
七鄐八手,false
七長八短,false
七開八得,false
七零八碎,false
七零八落,false
七青八黃,false
七顛八倒,false
七首八腳,false
七高八低,false
丈二和尚,false
三三五五,false
三三兩兩,false
三三四四,false
三下五除,false
三不拗六,false
三五成群,false
三人成虎,false
三人為眾,false
三令五申,false
三位一體,false
三余讀書,false
三個臭皮,false
三六九等,false
三冬二夏,false
三分似人,false
三分像人,false
三分鼎立,false
三分鼎足,false
三十三天,false
三十六策,false
三十六行,false
三十六計,false
三十年河,false
三十而立,false
